时间,实际电流
2018/9/17 18:14,46.8
2018/9/17 18:14,46.8
2018/9/17 18:14,46.8
2018/9/17 18:14,46.4
2018/9/17 18:14,46.4
2018/9/17 18:14,46.4
2018/9/17 18:14,46.4
2018/9/17 18:14,46.4
2018/9/17 18:14,46.4
2018/9/17 18:14,46.4
2018/9/17 18:14,46.4
2018/9/17 18:14,46.4
2018/9/17 18:14,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,44
2018/9/17 18:15,46
2018/9/17 18:15,46.4
2018/9/17 18:15,46
2018/9/17 18:15,46
2018/9/17 18:15,46
2018/9/17 18:15,46
2018/9/17 18:15,46
2018/9/17 18:15,46
2018/9/17 18:15,46
2018/9/17 18:15,46.4
2018/9/17 18:15,46.4
2018/9/17 18:15,46.4
2018/9/17 18:15,46
2018/9/17 18:15,46
2018/9/17 18:15,46
2018/9/17 18:15,46
2018/9/17 18:15,46.8
2018/9/17 18:15,46.8
2018/9/17 18:15,46.8
2018/9/17 18:15,46.8
2018/9/17 18:15,48.4
2018/9/17 18:15,48.4
2018/9/17 18:15,48.4
2018/9/17 18:15,48.4
2018/9/17 18:15,48.8
2018/9/17 18:15,48.8
2018/9/17 18:15,48.8
2018/9/17 18:15,48
2018/9/17 18:15,48
2018/9/17 18:15,48
2018/9/17 18:15,48
2018/9/17 18:15,47.6
2018/9/17 18:15,47.6
2018/9/17 18:16,47.6
2018/9/17 18:16,47.6
2018/9/17 18:16,47.6
2018/9/17 18:16,47.6
2018/9/17 18:16,47.6
2018/9/17 18:16,47.6
